Unnamed: 0,doy,s1_vv,s1_vh,s2_ndvi,s2_ndwi,s2_mndwi,flood_drain_franc,planting_franc,sown,flood_cat,y_ph,y_fd
69,209,-9.170658797800346,-18.73178858402609,-0.0130354299250966,-0.0045985464180582,0.4367418633053447,,,,,0.2957746478873239,0.18604651162790697
70,211,-8.65044351774093,-17.33599362607479,0.4573118439049649,-0.3280918694229386,-0.0719405829625947,,,,,0.2816901408450704,0.16279069767441867
71,214,-9.349859567686565,-17.398744875184153,0.055017003156398,-0.0588707565080226,0.2075033565446943,,,,,0.2676056338028169,0.13953488372093026
72,216,-9.657587164797157,-16.483160372008232,0.0079771050873087,-0.0221899162311173,0.6036883005823226,,,,,0.2535211267605634,0.11627906976744184
73,219,-10.119178560463048,-15.109783617244346,0.6716539738003542,-0.5189373006461199,-0.2727268601783739,,,,,0.23943661971830987,0.09302325581395354
74,221,-10.083936081314356,-16.35489002290349,0.5079470927059574,-0.3976859293136591,-0.1698342209803181,,,,,0.22535211267605637,0.06976744186046513
75,224,-9.978697179504524,-15.984484092182964,0.6588818318533823,-0.5175685307399329,-0.2632933618529728,,,,,0.21126760563380276,0.046511627906976716
76,226,-9.796666838350657,-15.359146240947588,0.6235285176473315,-0.4889930730216211,-0.2471048545974574,,,,,0.19718309859154926,0.023255813953488413
77,229,-9.12477475104781,-16.593089569192905,0.4136697619536249,-0.3392394260211013,-0.0557147050308869,,,,,0.18309859154929575,0.0
78,231,-8.676846692845913,-17.415718454689785,0.0842022162165912,-0.08510914703631,0.2350705221510614,,,,,0.16901408450704225,
79,234,-8.659891977435516,-17.119875309786778,0.0422040153109459,-0.0553249403534336,0.5168878382871267,,,,,0.15492957746478875,
80,236,-9.94812604103969,-17.499635038399294,0.5606253849053651,-0.4350229740679626,-0.1325698602812422,,,,,0.14084507042253525,
81,239,-10.404942196193549,-16.95566059564686,0.1052836793126924,-0.0993769455819692,0.2878252025261231,,,,,0.12676056338028163,
82,241,-10.21764131954532,-16.221806288588176,0.0778419249213658,-0.0737851100412014,0.0817147209116273,,,,,0.11267605633802813,
83,244,-9.93669000457298,-15.121024828000143,0.0102440453609076,-0.0203362334615582,0.3055005273418199,,,,,0.09859154929577463,
